cluster_id,manufacturer_candidate,decision,reason_code,evidence,retry_condition
energizer:ИНДУСТРИАЛЬНЫЕAALR6,Energizer,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Energizer Industrial AA/LR6 DP1 source and package evidence.
fanso:CR1225VBY2,FANSO,hold,exact_suffix_unverified,"Official FANSO current catalogue does not establish CR1225-VBY2, including the VBY2 terminal/pack suffix.",Official FANSO datasheet or product page naming CR1225-VBY2.
fanso:CR12AAWSC,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,"Exact Fanso CR1/2AA-WSC datasheet, including lead/terminal suffix."
fanso:CR14250,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso CR14250/BLS-2 datasheet or manufacturer page.
fanso:CR142503FP,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso CR14250/3FP datasheet including suffix.
fanso:CR14250E2PT,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso CR14250E/2PT datasheet including suffix.
fanso:CR14250H2PF,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso CR14250H/2PF datasheet including suffix.
fanso:CR14250H2PT,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso CR14250H/2PT datasheet including suffix.
fanso:CR14250H3FP,FANSO,hold,exact_suffix_unverified,Official FANSO current catalogue did not establish the CR14250H/3FP chemistry and lead suffix as one exact model.,Official FANSO datasheet/product page for CR14250H/3FP.
fanso:CR14250H3PF,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso CR14250H/3PF datasheet including suffix.
fanso:CR14250HEHR02,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso CR14250H/EHR-02 datasheet including connector/lead suffix.
fanso:CR14250HP,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso CR14250H/P datasheet including suffix.
fanso:CR14250LD,FANSO,hold,exact_suffix_unverified,Official FANSO current catalogue did not establish CR14250-LD.,Official FANSO datasheet/product page for CR14250-LD.
fanso:CR2032VAY3178,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso CR2032-VAY3-17.8 datasheet including tab/lead variant.
fanso:ER14250,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso ER14250 2PF datasheet including suffix.
fanso:ER14505,Fanso,hold,variant_or_bundle_ambiguous,Three members share ER14505 but representative specifies leads; name-only evidence cannot prove the exact lead/connector configuration or merge all members.,Exact Fanso ER14505 datasheet plus per-member suffix/lead identifiers.
fanso:ER17505,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso ER17505 4PF datasheet including suffix.
fanso:ER17505VB,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso ER17505-VB datasheet including suffix.
fanso:ER18505M,FANSO,hold,assembly_connector_unverified,"The name states a 2× ER18505M assembly with Molex 51021-2. The official model-core source found is for ER18505H, not this M assembly. || The name states a 2× ER18505M assembly with leads. No official source verifies the assembly topology or lead configuration.",Official FANSO assembly datasheet/BOM confirming two ER18505M cells and Molex 51021-2. || Official FANSO assembly datasheet/BOM confirming two ER18505M cells and the exact lead variant.
fanso:ER2450,FANSO,hold,primary_source_required,No exact official FANSO ER2450 product page/datasheet was located in this pass.,Official FANSO ER2450 datasheet.
fanso:ER2450VCY2,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso ER2450-VCY2 datasheet including suffix.
fanso:ER26500,Fanso,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Fanso ER26500 2PF datasheet including suffix.
kijo:6EVG100AH,Kijo,hold,manufacturer_model_unverified,Wave 119 primary-source research found no exact Kijo manufacturer source for 6-EVG-100Ah; 12V/100Ah must not be inferred from a raw label alone.,Exact Kijo 6-EVG-100Ah datasheet or manufacturer catalogue entry.
leoch:DJ150,Leoch,hold,capacity_conflict,Wave 119: no exact Leoch DJ150 primary page/data sheet was found. The raw record says 2V/155Ah; other Leoch 2V/150 models are not evidence for DJ150.,"Exact Leoch DJ150 datasheet must establish model, nominal voltage, capacity rate and capacity."
out_of_scope:CR17335SEPHR2,unknown,hold,false_positive_scope,"Exact source row: Батарея литиевая CR17335-SE разъем PHR-2 /Китай/. A connector/terminal is a variant of a primary battery, not proof that the product is out of scope.",Obtain manufacturer and exact CR17335-SE PHR-2 datasheet before drafting; do not exclude or unpublish.
panasonic:2BR23A,Panasonic,hold,primary_source_required,"Manufacturer page documents one BR-2/3A 3V cell, not the local 2-cell 6V assembly. || https://energy.panasonic.com/tw/business/products/lithium/cylindrical-br/models/BR-2-3A",Obtain Panasonic documentation for the exact two-cell assembly.
panasonic:2HHR120AAB,Panasonic,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Panasonic 2HHR-120AAB datasheet.
panasonic:8ХCR123APAB,Panasonic,hold,primary_source_required,The local identity is an 8-cell pack; a single-cell CR123A source is insufficient. || https://energy.panasonic.com/eu/business/products/lithium/cylindrical-cr-standard/models/CR123A,Obtain a manufacturer document for the exact 8x CR-123APA/B assembly.
panasonic:ALKALINE12V,Panasonic,hold,manufacturer_model_unverified,Raw record says only A23 alkaline 12V; no exact Panasonic manufacturer model/pack identifier is recorded.,Exact Panasonic A23 product page/datasheet and pack variant.
panasonic:BR1225AHBN,Panasonic,hold,primary_source_required,The source confirms BR1225A core but the local HBN terminal variant is not independently resolved. || https://energy.panasonic.com/eu/business/products/lithium/coin-br-high-temp/models/BR1225A,Obtain the Panasonic terminal drawing or part-number mapping for BR1225A/HBN.
panasonic:BR12AAE2PN,Panasonic,hold,primary_source_required,Terminal/lead suffix E2PN is not safely inferable from the base-size name. || https://energy.panasonic.com/ap/business/downloads/terminal,Obtain exact Panasonic terminal drawing or product datasheet for BR1/2AAE2PN.
panasonic:BR1632HAN,Panasonic,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Panasonic BR1632/HAN datasheet including terminal variant.
panasonic:BR23AE2SPN,Panasonic,hold,primary_source_required,Terminal/lead suffix E2SPN is not safely inferable from the BR-2/3A core. || https://energy.panasonic.com/ap/business/downloads/terminal,Obtain exact Panasonic terminal drawing or product datasheet for BR2/3AE2SPN.
panasonic:BR23AGCT4A,Panasonic,hold,primary_source_required,Terminal/lead suffix GCT4A requires exact part-number evidence. || https://energy.panasonic.com/ap/business/downloads/terminal,Obtain exact Panasonic terminal drawing or product datasheet for BR-2/3AGCT4A.
panasonic:BR23AH,Panasonic,hold,primary_source_required,Local record explicitly has leads; base-cell source cannot establish its terminal configuration. || https://energy.panasonic.com/tw/business/products/lithium/cylindrical-br/models/BR-2-3A,Obtain the Panasonic drawing for BR2/3AH.
panasonic:BR2GCF2W,Panasonic,hold,primary_source_required,Terminal configuration F2W is part of the identity and has not been verified. || https://energy.panasonic.com/ap/business/downloads/terminal,Obtain exact Panasonic terminal drawing or product datasheet for BR-2GCF2W.
panasonic:BRAGCF2W,Panasonic,hold,primary_source_required,Terminal configuration F2W is part of the identity and has not been verified. || https://energy.panasonic.com/ap/business/downloads/terminal,Obtain exact Panasonic terminal drawing or product datasheet for BR-AGCF2W.
panasonic:CR123LA,Panasonic,hold,primary_source_required,Local CR123LA code is not proven equivalent to Panasonic CR123A by a primary source. || https://energy.panasonic.com/eu/business/products/lithium/cylindrical-cr-standard/models/CR123A,Obtain exact Panasonic part-number mapping for CR123LA.
panasonic:CR2477,Panasonic,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Panasonic CR2477 source including leaded variant.
panasonic:FANUC1S,Panasonic,hold,primary_source_required,PLC backup-pack identity is not a Panasonic cell model and no primary source was found.,Obtain the PLC manufacturer part number and the pack datasheet.
panasonic:HHR200AB,Panasonic,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Panasonic HHR-200AB datasheet.
panasonic:LR41,Panasonic,hold,primary_source_required,No current Panasonic manufacturer-primary product page or datasheet for the exact LR41 retail item was located.,Obtain a Panasonic LR41 primary datasheet or product label.
panasonic:LR44,Panasonic,hold,variant_or_bundle_ambiguous,Two LR44 records are grouped by generic cell designation; name-only evidence cannot prove identical brand/package variants.,Exact Panasonic LR44 page/datasheet and package identifiers for both members.
pkcell:AAR06,PKCELL,hold,voltage_architecture_conflict,Three records are grouped as AA/R06 but representative raw name combines ten Ni-MH cells with 2800mAh and 12V; that may be a pack rather than one AA cell.,"Exact PKCELL pack datasheet with cell count, wiring, voltage and SKU for every member."
pkcell:BL10,PKCELL,hold,cluster_model_collision,"The cluster key BL10 is packaging, while its members are AG1, AG4 and AG6. An official generic catalogue must not be used to merge three different button-cell models.",Split to the three exact model records and locate an official PKCELL page/datasheet for each model.
pkcell:ER14505,PKCELL,hold,variant_or_bundle_ambiguous,Three members share ER14505; name-only evidence cannot prove lead/connector/package variants are identical.,Exact PKCELL ER14505 datasheet plus suffix/lead identifiers for each member.
pkcell:ER18505,PKCELL,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact PKCELL ER18505 datasheet matching XHR-2P connector variant.
pkcell:ER26500,PKCELL,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact PKCELL ER26500 datasheet matching Dubon 2P connector variant.
pkcell:ER34615,PKCELL,hold,variant_or_bundle_ambiguous,Two ER34615 records are grouped by generic model; name-only evidence cannot prove identical lead/connector configurations.,Exact PKCELL ER34615 datasheet and per-member variant identifiers.
robiton:6F22,Robiton,hold,series_unverified,The raw name says only ROBITON 6F22; the official page found is specifically the PLUS series. Series must not be inferred.,Exact official ROBITON page/SKU for this 6F22 record.
robiton:9V80,Robiton,hold,manufacturer_model_unverified,Raw name combines a 9V80 charger label and FAST variant; exact manufacturer page/model mapping is not recorded.,Exact Robiton manufacturer page or datasheet for the full 9V80 FAST designation.
robiton:BL1КИТАЙ,Robiton,hold,manufacturer_model_unverified,Model candidate BL1/Китай is packaging/origin text; it cannot establish a product identity for VolumeCharger C8.,Exact Robiton VolumeCharger C8 source with full SKU and pack configuration.
robiton:CHARGER5W,Robiton,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Robiton Charger5W source including electrical/output specification.
robiton:EN3000S,Robiton,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Robiton EN3000S source matching the 3000mA variant.
robiton:EN3000S524,Robiton,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Robiton EN3000S/5-24 source including voltage range.
robiton:HOBBYCHARGER02,Robiton,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Robiton HobbyCharger02 manufacturer source.
robiton:IR99W,Robiton,hold,variant_or_bundle_ambiguous,Two members share IR9-9W but raw text contains a connector/polarity notation; name-only evidence cannot prove both are the same electrical/plug variant.,Exact Robiton IR9-9W source and connector/polarity identifier for each member.
robiton:LAC6121000,Robiton,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Robiton LAC612-1000 charger source.
robiton:MASTERCHARGER2BPRO,Robiton,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Robiton MasterCharger 2B/Pro source.
robiton:MASTERCHARGER2Н,Robiton,hold,manufacturer_model_unverified,Raw name uses Cyrillic '2Н' while product-like suffix says Pro; this may be a transcription/variant ambiguity.,Exact Robiton source that confirms the intended model spelling and Pro variant.
robiton:MASTERCHARGER4T5,Robiton,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Robiton MasterCharger 4T5 Pro source.
robiton:R3R12SR1,Robiton,hold,exact_sku_unverified,"Official ROBITON catalogue establishes a PLUS 3R12 family, but this pass did not locate the exact R-3R12-SR1/SR1 SKU page.",Official ROBITON product page or current catalogue entry for R-3R12-SR1.
robiton:SMART4,Robiton,hold,variant_or_bundle_ambiguous,"Four members share Smart4; representative adds 9V kit and mains adapter, so generic name cannot safely merge the records.",Exact Robiton Smart4 manufacturer page and per-member kit/SKU identifiers.
robiton:TABLET2000,Robiton,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Robiton Tablet2000 source including output/plug variant.
robiton:USB1000AUTO,Robiton,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Robiton USB1000/Auto S source.
robiton:USB2100,Robiton,hold,manufacturer_model_unverified,Raw model 'USB 2100' is insufficient to identify port count/output/plug configuration.,Exact Robiton USB 2100 source with full SKU and electrical specification.
robiton:АДАПТОРОМ2,Robiton,hold,manufacturer_model_unverified,Model candidate is parsed from accessory text ('adapter 2.1A') rather than a manufacturer SKU.,Exact Robiton VolumeCharger LCD source with full SKU and included adapter specification.
saft:ABB3HAC168311,Saft,hold,pack_configuration_unverified,"ABB 3HAC16831-1 is a 10.8V pack designation, not a standalone Saft cell model; no primary pack BOM is recorded.","ABB or Saft primary pack documentation identifying chemistry, cells, wiring and connector."
saft:ER6V,Saft,hold,connector_variant_unverified,"Raw name maps ER6V AA to LS14500 with connector. The Saft LS14500 datasheet confirms only model-core cell facts, not a connector assembly.",Exact Saft connector/assembly drawing or OEM pack BOM.
saft:G0621,Saft,hold,manufacturer_model_unverified,No exact current Saft manufacturer-primary datasheet for G 06/2.1 was located in this research wave.,Exact Saft G 06/2.1 primary technical datasheet.
saft:LS14250,Saft,hold,connector_variant_unverified,Representative name specifies LS 14250 CNR. Model-core certification is insufficient to assert CNR lead/connector configuration for four records.,Exact Saft LS 14250 CNR drawing and per-record variant identifiers.
saft:LS14250СNA,Saft,hold,pack_configuration_unverified,Raw name identifies LS 14250 CNA as a 25-unit kit; manufacturer cell data does not verify kit SKU or constituent execution.,Exact Saft CNA package/kit specification and per-record SKU evidence.
saft:LS14500,Saft,hold,terminal_variant_unverified,Raw name contains FLE suffix; the exact Saft base-cell datasheet does not prove this terminal execution.,Exact Saft LS14500 FLE drawing or product specification.
saft:LS14500СNAПРОИЗВОДСТВО,Saft,hold,pack_configuration_unverified,Raw name contains CNA suffix; exact Saft LS14500 base-cell facts cannot prove a CNA configuration.,Exact Saft LS14500 CNA product specification.
saft:LS33600,Saft,hold,terminal_variant_unverified,Representative name is LS 33600 B; base-cell model documentation does not prove B terminal execution for either member.,Exact Saft LS33600 B drawing and per-record variant identifiers.
saft:LSH20,Saft,hold,variant_or_bundle_ambiguous,Raw record explicitly says a four-unit LSH20 assembly; a cell-level source alone would not prove the assembly configuration.,Exact SAFT assembly source or BOM that identifies four LSH20 cells and connections.
tekcell:6ES79711AA000AA0,Tekcell,hold,third_party_pack_identity,Raw item is a Siemens 6ES7971-1AA00-0AA0 backup battery pack while the Tekcell source only provides a brand candidate; no manufacturer-primary Tekcell/Vitzrocell source establishes the complete Siemens pack.,Exact manufacturer pack BOM or Siemens primary documentation that identifies the installed cell manufacturer and pack configuration.
tekcell:BSL2,Tekcell,hold,manufacturer_model_unverified,"Representative text names SB CO2 TC with BSL-2 connector, while parsed model is BSL-2; connector text is not a product model.",Exact Tekcell manufacturer source matching SB CO2 TC and BSL-2 connector configuration.
tekcell:CR17450,Tekcell,hold,variant_or_bundle_ambiguous,Four members share CR17450 but representative says a two-cell/connector assembly; generic chemistry size cannot prove identical assemblies.,Exact Tekcell assembly source and per-member connector/BOM identifiers.
tekcell:SBAA02AX,Tekcell,hold,terminal_variant_unverified,"Vitzrocell confirms SB-AA02 model-core facts and lists AX as an available terminal family, but does not identify the exact AX execution in this record.",Exact Vitzrocell/TEKCELL document for SB-AA02AX terminal and lead configuration.
tekcell:SBAA11AX,Tekcell,hold,terminal_variant_unverified,"Vitzrocell confirms SB-AA11 model-core facts and lists AX as an available terminal family, but does not identify the exact AX execution in this record.",Exact Vitzrocell/TEKCELL document for SB-AA11AX terminal and lead configuration.
tekcell:SBAA11P,Tekcell,hold,terminal_variant_unverified,The suffix P is an execution signal; the manufacturer page establishes only the SB-AA11 model core.,Exact Vitzrocell/TEKCELL document for SB-AA11P execution.
tekcell:SBAA11TC,Tekcell,hold,terminal_variant_unverified,The TC suffix is an execution signal; the manufacturer page establishes only the SB-AA11 model core.,Exact Vitzrocell/TEKCELL document for SB-AA11TC execution.
tekcell:SBC02,Tekcell,hold,lead_variant_unverified,Both records explicitly say 'with leads'; the manufacturer-primary SB-C02 page establishes base-cell facts but not the lead/connector configuration of either member.,Exact Vitzrocell/TEKCELL lead/connector drawing for each SB-C02 record.
tekcell:SBCO2,Tekcell,hold,primary_source_required,Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.,Exact Tekcell SB CO2 TC source matching CNR lead variant.
tekcell:SBD02,Tekcell,hold,lead_variant_unverified,Raw name explicitly says 'with leads'; the manufacturer-primary SB-D02 page establishes base-cell facts but not the lead/connector configuration.,Exact Vitzrocell/TEKCELL lead/connector drawing for this SB-D02 record.
tekcell:SBD02AX,Tekcell,hold,terminal_variant_unverified,AX is a terminal execution signal; no exact manufacturer-primary document for SB-D02AX is recorded.,Exact Vitzrocell/TEKCELL document for SB-D02AX terminal and lead configuration.
tekcell:SWC01,Tekcell,hold,manufacturer_model_unverified,No current manufacturer-primary Vitzrocell/TEKCELL page for exact SW-C01 was located; reseller material is not sufficient under this wave's source rule.,Exact Vitzrocell/TEKCELL SW-C01 primary datasheet.
tekcell:АА1SКИТАЙ,Tekcell,hold,pack_configuration_unverified,"Raw name describes SB-AA11-2P pack; a base-cell source cannot prove the two-cell wiring, connector, polarity or capacity of the pack.",Exact Vitzrocell/TEKCELL pack drawing or BOM for SB-AA11-2P.
ventura:GPL1220,Ventura,hold,discontinued_or_unlisted_model,"Wave 119 primary-source research: current official Ventura GPL support/catalogue lists GPL 12-15 and GPL 12-26 but not GPL12-20 (https://ventura-battery.ru/podderzhka/). It may be old, renamed, or a transcription; no exact source is recorded.",Exact Ventura historical datasheet/catalogue or a manufacturer supersession notice for GPL12-20.
