cluster_id,manufacturer_candidate,decision,reason_code,evidence,retry_condition
fanso:CR14250,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR14250/BLS-2 datasheet or manufacturer page."
fanso:CR142503FP,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR14250/3FP datasheet including suffix."
fanso:CR14250E2PT,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR14250E/2PT datasheet including suffix."
fanso:CR14250H2PF,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR14250H/2PF datasheet including suffix."
fanso:CR14250H2PT,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR14250H/2PT datasheet including suffix."
fanso:CR14250H3PF,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR14250H/3PF datasheet including suffix."
fanso:CR14250HEHR02,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR14250H/EHR-02 datasheet including connector/lead suffix."
fanso:CR14250HP,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR14250H/P datasheet including suffix."
fanso:CR2032VAY3178,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR2032-VAY3-17.8 datasheet including tab/lead variant."
fanso:ER14250,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso ER14250 2PF datasheet including suffix."
fanso:ER14505,Fanso,hold,variant_or_bundle_ambiguous,"Three members share ER14505 but representative specifies leads; name-only evidence cannot prove the exact lead/connector configuration or merge all members.","Exact Fanso ER14505 datasheet plus per-member suffix/lead identifiers."
fanso:ER17505,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso ER17505 4PF datasheet including suffix."
fanso:ER17505VB,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso ER17505-VB datasheet including suffix."
fanso:ER2450VCY2,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso ER2450-VCY2 datasheet including suffix."
fanso:ER26500,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso ER26500 2PF datasheet including suffix."
kijo:6EVG100AH,Kijo,hold,manufacturer_model_unverified,"Wave 119 primary-source research found no exact Kijo manufacturer source for 6-EVG-100Ah; 12V/100Ah must not be inferred from a raw label alone.","Exact Kijo 6-EVG-100Ah datasheet or manufacturer catalogue entry."
leoch:DJ150,Leoch,hold,capacity_conflict,"Wave 119: no exact Leoch DJ150 primary page/data sheet was found. The raw record says 2V/155Ah; other Leoch 2V/150 models are not evidence for DJ150.","Exact Leoch DJ150 datasheet must establish model, nominal voltage, capacity rate and capacity."
panasonic:2HHR120AAB,Panasonic,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Panasonic 2HHR-120AAB datasheet."
panasonic:ALKALINE12V,Panasonic,hold,manufacturer_model_unverified,"Raw record says only A23 alkaline 12V; no exact Panasonic manufacturer model/pack identifier is recorded.","Exact Panasonic A23 product page/datasheet and pack variant."
panasonic:BR1632HAN,Panasonic,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Panasonic BR1632/HAN datasheet including terminal variant."
panasonic:CR2477,Panasonic,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Panasonic CR2477 source including leaded variant."
panasonic:HHR200AB,Panasonic,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Panasonic HHR-200AB datasheet."
panasonic:LR44,Panasonic,hold,variant_or_bundle_ambiguous,"Two LR44 records are grouped by generic cell designation; name-only evidence cannot prove identical brand/package variants.","Exact Panasonic LR44 page/datasheet and package identifiers for both members."
pkcell:AAR06,PKCELL,hold,voltage_architecture_conflict,"Three records are grouped as AA/R06 but representative raw name combines ten Ni-MH cells with 2800mAh and 12V; that may be a pack rather than one AA cell.","Exact PKCELL pack datasheet with cell count, wiring, voltage and SKU for every member."
pkcell:ER14505,PKCELL,hold,variant_or_bundle_ambiguous,"Three members share ER14505; name-only evidence cannot prove lead/connector/package variants are identical.","Exact PKCELL ER14505 datasheet plus suffix/lead identifiers for each member."
pkcell:ER18505,PKCELL,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact PKCELL ER18505 datasheet matching XHR-2P connector variant."
pkcell:ER26500,PKCELL,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact PKCELL ER26500 datasheet matching Dubon 2P connector variant."
pkcell:ER34615,PKCELL,hold,variant_or_bundle_ambiguous,"Two ER34615 records are grouped by generic model; name-only evidence cannot prove identical lead/connector configurations.","Exact PKCELL ER34615 datasheet and per-member variant identifiers."
robiton:9V80,Robiton,hold,manufacturer_model_unverified,"Raw name combines a 9V80 charger label and FAST variant; exact manufacturer page/model mapping is not recorded.","Exact Robiton manufacturer page or datasheet for the full 9V80 FAST designation."
robiton:BL1КИТАЙ,Robiton,hold,manufacturer_model_unverified,"Model candidate BL1/Китай is packaging/origin text; it cannot establish a product identity for VolumeCharger C8.","Exact Robiton VolumeCharger C8 source with full SKU and pack configuration."
robiton:CHARGER5W,Robiton,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Robiton Charger5W source including electrical/output specification."
robiton:EN3000S,Robiton,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Robiton EN3000S source matching the 3000mA variant."
robiton:EN3000S524,Robiton,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Robiton EN3000S/5-24 source including voltage range."
robiton:HOBBYCHARGER02,Robiton,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Robiton HobbyCharger02 manufacturer source."
robiton:IR99W,Robiton,hold,variant_or_bundle_ambiguous,"Two members share IR9-9W but raw text contains a connector/polarity notation; name-only evidence cannot prove both are the same electrical/plug variant.","Exact Robiton IR9-9W source and connector/polarity identifier for each member."
robiton:LAC6121000,Robiton,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Robiton LAC612-1000 charger source."
robiton:MASTERCHARGER2BPRO,Robiton,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Robiton MasterCharger 2B/Pro source."
robiton:MASTERCHARGER2Н,Robiton,hold,manufacturer_model_unverified,"Raw name uses Cyrillic '2Н' while product-like suffix says Pro; this may be a transcription/variant ambiguity.","Exact Robiton source that confirms the intended model spelling and Pro variant."
robiton:MASTERCHARGER4T5,Robiton,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Robiton MasterCharger 4T5 Pro source."
robiton:SMART4,Robiton,hold,variant_or_bundle_ambiguous,"Four members share Smart4; representative adds 9V kit and mains adapter, so generic name cannot safely merge the records.","Exact Robiton Smart4 manufacturer page and per-member kit/SKU identifiers."
robiton:TABLET2000,Robiton,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Robiton Tablet2000 source including output/plug variant."
robiton:USB1000AUTO,Robiton,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Robiton USB1000/Auto S source."
robiton:USB2100,Robiton,hold,manufacturer_model_unverified,"Raw model 'USB 2100' is insufficient to identify port count/output/plug configuration.","Exact Robiton USB 2100 source with full SKU and electrical specification."
robiton:АДАПТОРОМ2,Robiton,hold,manufacturer_model_unverified,"Model candidate is parsed from accessory text ('adapter 2.1A') rather than a manufacturer SKU.","Exact Robiton VolumeCharger LCD source with full SKU and included adapter specification."
saft:LSH20,Saft,hold,variant_or_bundle_ambiguous,"Raw record explicitly says a four-unit LSH20 assembly; a cell-level source alone would not prove the assembly configuration.","Exact SAFT assembly source or BOM that identifies four LSH20 cells and connections."
tekcell:BSL2,Tekcell,hold,manufacturer_model_unverified,"Representative text names SB CO2 TC with BSL-2 connector, while parsed model is BSL-2; connector text is not a product model.","Exact Tekcell manufacturer source matching SB CO2 TC and BSL-2 connector configuration."
tekcell:CR17450,Tekcell,hold,variant_or_bundle_ambiguous,"Four members share CR17450 but representative says a two-cell/connector assembly; generic chemistry size cannot prove identical assemblies.","Exact Tekcell assembly source and per-member connector/BOM identifiers."
tekcell:SBCO2,Tekcell,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Tekcell SB CO2 TC source matching CNR lead variant."
ventura:GPL1220,Ventura,hold,discontinued_or_unlisted_model,"Wave 119 primary-source research: current official Ventura GPL support/catalogue lists GPL 12-15 and GPL 12-26 but not GPL12-20 (https://ventura-battery.ru/podderzhka/). It may be old, renamed, or a transcription; no exact source is recorded.","Exact Ventura historical datasheet/catalogue or a manufacturer supersession notice for GPL12-20."
